,Group,Species,Species1,OD600,Incubation time,Date,PCS
PO,P.oralis,P.oralis,Prevotella oralis,0.064,0,2022/1/1,No
PO,P.oralis,P.oralis,Prevotella oralis,0.068,0,2022/1/1,No
PO,P.oralis,P.oralis,Prevotella oralis,0.06,0,2022/1/1,No
PO,P.oralis,P.oralis,Prevotella oralis,0.07,0,2022/1/1,No
PO,P.oralis,P.oralis,Prevotella oralis,0.065,0,2022/1/1,No
PO,P.oralis,P.oralis,Prevotella oralis,0.068,0,2022/1/1,No
PO+PCS,P.oralis+P.copri sup,P.oralis,Prevotella oralis,0.073,0,2022/1/1,Yes
PO+PCS,P.oralis+P.copri sup,P.oralis,Prevotella oralis,0.064,0,2022/1/1,Yes
PO+PCS,P.oralis+P.copri sup,P.oralis,Prevotella oralis,0.068,0,2022/1/1,Yes
PO+PCS,P.oralis+P.copri sup,P.oralis,Prevotella oralis,0.078,0,2022/1/1,Yes
PO+PCS,P.oralis+P.copri sup,P.oralis,Prevotella oralis,0.07,0,2022/1/1,Yes
PO+PCS,P.oralis+P.copri sup,P.oralis,Prevotella oralis,0.069,0,2022/1/1,Yes
PO,P.oralis,P.oralis,Prevotella oralis,0.062,6,2022/1/1,No
PO,P.oralis,P.oralis,Prevotella oralis,0.065,6,2022/1/1,No
PO,P.oralis,P.oralis,Prevotella oralis,0.065,6,2022/1/1,No
PO,P.oralis,P.oralis,Prevotella oralis,0.059,6,2022/1/1,No
PO,P.oralis,P.oralis,Prevotella oralis,0.063,6,2022/1/1,No
PO,P.oralis,P.oralis,Prevotella oralis,0.056,6,2022/1/1,No
PO+PCS,P.oralis+P.copri sup,P.oralis,Prevotella oralis,0.061,6,2022/1/1,Yes
PO+PCS,P.oralis+P.copri sup,P.oralis,Prevotella oralis,0.057,6,2022/1/1,Yes
PO+PCS,P.oralis+P.copri sup,P.oralis,Prevotella oralis,0.062,6,2022/1/1,Yes
PO+PCS,P.oralis+P.copri sup,P.oralis,Prevotella oralis,0.064,6,2022/1/1,Yes
PO+PCS,P.oralis+P.copri sup,P.oralis,Prevotella oralis,0.063,6,2022/1/1,Yes
PO+PCS,P.oralis+P.copri sup,P.oralis,Prevotella oralis,0.065,6,2022/1/1,Yes
PO,P.oralis,P.oralis,Prevotella oralis,0.068,12,2022/1/1,No
PO,P.oralis,P.oralis,Prevotella oralis,0.072,12,2022/1/1,No
PO,P.oralis,P.oralis,Prevotella oralis,0.067,12,2022/1/1,No
PO,P.oralis,P.oralis,Prevotella oralis,0.07,12,2022/1/1,No
PO,P.oralis,P.oralis,Prevotella oralis,0.063,12,2022/1/1,No
PO,P.oralis,P.oralis,Prevotella oralis,0.072,12,2022/1/1,No
PO+PCS,P.oralis+P.copri sup,P.oralis,Prevotella oralis,0.067,12,2022/1/1,Yes
PO+PCS,P.oralis+P.copri sup,P.oralis,Prevotella oralis,0.061,12,2022/1/1,Yes
PO+PCS,P.oralis+P.copri sup,P.oralis,Prevotella oralis,0.069,12,2022/1/1,Yes
PO+PCS,P.oralis+P.copri sup,P.oralis,Prevotella oralis,0.067,12,2022/1/1,Yes
PO+PCS,P.oralis+P.copri sup,P.oralis,Prevotella oralis,0.068,12,2022/1/1,Yes
PO+PCS,P.oralis+P.copri sup,P.oralis,Prevotella oralis,0.074,12,2022/1/1,Yes
PO,P.oralis,P.oralis,Prevotella oralis,0.075,24,2022/1/1,No
PO,P.oralis,P.oralis,Prevotella oralis,0.096,24,2022/1/1,No
PO,P.oralis,P.oralis,Prevotella oralis,0.067,24,2022/1/1,No
PO,P.oralis,P.oralis,Prevotella oralis,0.067,24,2022/1/1,No
PO,P.oralis,P.oralis,Prevotella oralis,0.088,24,2022/1/1,No
PO,P.oralis,P.oralis,Prevotella oralis,0.084,24,2022/1/1,No
PO+PCS,P.oralis+P.copri sup,P.oralis,Prevotella oralis,0.35,24,2022/1/1,Yes
PO+PCS,P.oralis+P.copri sup,P.oralis,Prevotella oralis,0.361,24,2022/1/1,Yes
PO+PCS,P.oralis+P.copri sup,P.oralis,Prevotella oralis,0.062,24,2022/1/1,Yes
PO+PCS,P.oralis+P.copri sup,P.oralis,Prevotella oralis,0.087,24,2022/1/1,Yes
PO+PCS,P.oralis+P.copri sup,P.oralis,Prevotella oralis,0.433,24,2022/1/1,Yes
PO+PCS,P.oralis+P.copri sup,P.oralis,Prevotella oralis,0.097,24,2022/1/1,Yes
PO,P.oralis,P.oralis,Prevotella oralis,0.361,36,2022/1/1,No
PO,P.oralis,P.oralis,Prevotella oralis,0.119,36,2022/1/1,No
PO,P.oralis,P.oralis,Prevotella oralis,0.293,36,2022/1/1,No
PO,P.oralis,P.oralis,Prevotella oralis,0.179,36,2022/1/1,No
PO,P.oralis,P.oralis,Prevotella oralis,0.063,36,2022/1/1,No
PO,P.oralis,P.oralis,Prevotella oralis,0.146,36,2022/1/1,No
PO+PCS,P.oralis+P.copri sup,P.oralis,Prevotella oralis,0.68,36,2022/1/1,Yes
PO+PCS,P.oralis+P.copri sup,P.oralis,Prevotella oralis,0.619,36,2022/1/1,Yes
PO+PCS,P.oralis+P.copri sup,P.oralis,Prevotella oralis,0.109,36,2022/1/1,Yes
PO+PCS,P.oralis+P.copri sup,P.oralis,Prevotella oralis,0.147,36,2022/1/1,Yes
PO+PCS,P.oralis+P.copri sup,P.oralis,Prevotella oralis,0.371,36,2022/1/1,Yes
PO+PCS,P.oralis+P.copri sup,P.oralis,Prevotella oralis,0.324,36,2022/1/1,Yes
PO,P.oralis,P.oralis,Prevotella oralis,0.58,60,2022/1/1,No
PO,P.oralis,P.oralis,Prevotella oralis,0.269,60,2022/1/1,No
PO,P.oralis,P.oralis,Prevotella oralis,0.427,60,2022/1/1,No
PO,P.oralis,P.oralis,Prevotella oralis,0.566,60,2022/1/1,No
PO,P.oralis,P.oralis,Prevotella oralis,0.145,60,2022/1/1,No
PO,P.oralis,P.oralis,Prevotella oralis,0.426,60,2022/1/1,No
PO+PCS,P.oralis+P.copri sup,P.oralis,Prevotella oralis,0.513,60,2022/1/1,Yes
PO+PCS,P.oralis+P.copri sup,P.oralis,Prevotella oralis,0.364,60,2022/1/1,Yes
PO+PCS,P.oralis+P.copri sup,P.oralis,Prevotella oralis,0.448,60,2022/1/1,Yes
PO+PCS,P.oralis+P.copri sup,P.oralis,Prevotella oralis,0.29,60,2022/1/1,Yes
PO+PCS,P.oralis+P.copri sup,P.oralis,Prevotella oralis,0.475,60,2022/1/1,Yes
PO+PCS,P.oralis+P.copri sup,P.oralis,Prevotella oralis,0.464,60,2022/1/1,Yes
BP1,B. pseudocatenulatum,B. pseudocatenulatum,Bifidobacterium pseudocatenulatum,0.0800,0,2022/1/1,No
BP2,B. pseudocatenulatum,B. pseudocatenulatum,Bifidobacterium pseudocatenulatum,0.0810,0,2022/1/1,No
BP3,B. pseudocatenulatum,B. pseudocatenulatum,Bifidobacterium pseudocatenulatum,0.0800,0,2022/1/1,No
BP4,B. pseudocatenulatum,B. pseudocatenulatum,Bifidobacterium pseudocatenulatum,0.0750,0,2022/1/1,No
BP5,B. pseudocatenulatum,B. pseudocatenulatum,Bifidobacterium pseudocatenulatum,0.0920,0,2022/1/1,No
BP6,B. pseudocatenulatum,B. pseudocatenulatum,Bifidobacterium pseudocatenulatum,0.0740,0,2022/1/1,No
BP+PCS1,B. pseudocatenulatum+P.copri sup,B. pseudocatenulatum,Bifidobacterium pseudocatenulatum,0.0690,0,2022/1/1,Yes
BP+PCS2,B. pseudocatenulatum+P.copri sup,B. pseudocatenulatum,Bifidobacterium pseudocatenulatum,0.0610,0,2022/1/1,Yes
BP+PCS3,B. pseudocatenulatum+P.copri sup,B. pseudocatenulatum,Bifidobacterium pseudocatenulatum,0.0610,0,2022/1/1,Yes
BP+PCS4,B. pseudocatenulatum+P.copri sup,B. pseudocatenulatum,Bifidobacterium pseudocatenulatum,0.0720,0,2022/1/1,Yes
BP+PCS5,B. pseudocatenulatum+P.copri sup,B. pseudocatenulatum,Bifidobacterium pseudocatenulatum,0.0610,0,2022/1/1,Yes
BP+PCS6,B. pseudocatenulatum+P.copri sup,B. pseudocatenulatum,Bifidobacterium pseudocatenulatum,0.0610,0,2022/1/1,Yes
BP1,B. pseudocatenulatum,B. pseudocatenulatum,Bifidobacterium pseudocatenulatum,0.0730,6,2022/1/1,No
BP2,B. pseudocatenulatum,B. pseudocatenulatum,Bifidobacterium pseudocatenulatum,0.0730,6,2022/1/1,No
BP3,B. pseudocatenulatum,B. pseudocatenulatum,Bifidobacterium pseudocatenulatum,0.0720,6,2022/1/1,No
BP4,B. pseudocatenulatum,B. pseudocatenulatum,Bifidobacterium pseudocatenulatum,0.0720,6,2022/1/1,No
BP5,B. pseudocatenulatum,B. pseudocatenulatum,Bifidobacterium pseudocatenulatum,0.0720,6,2022/1/1,No
BP6,B. pseudocatenulatum,B. pseudocatenulatum,Bifidobacterium pseudocatenulatum,0.0770,6,2022/1/1,No
BP+PCS1,B. pseudocatenulatum+P.copri sup,B. pseudocatenulatum,Bifidobacterium pseudocatenulatum,0.0730,6,2022/1/1,Yes
BP+PCS2,B. pseudocatenulatum+P.copri sup,B. pseudocatenulatum,Bifidobacterium pseudocatenulatum,0.1130,6,2022/1/1,Yes
BP+PCS3,B. pseudocatenulatum+P.copri sup,B. pseudocatenulatum,Bifidobacterium pseudocatenulatum,0.0590,6,2022/1/1,Yes
BP+PCS4,B. pseudocatenulatum+P.copri sup,B. pseudocatenulatum,Bifidobacterium pseudocatenulatum,0.0710,6,2022/1/1,Yes
BP+PCS5,B. pseudocatenulatum+P.copri sup,B. pseudocatenulatum,Bifidobacterium pseudocatenulatum,0.1110,6,2022/1/1,Yes
BP+PCS6,B. pseudocatenulatum+P.copri sup,B. pseudocatenulatum,Bifidobacterium pseudocatenulatum,0.0580,6,2022/1/1,Yes
BP1,B. pseudocatenulatum,B. pseudocatenulatum,Bifidobacterium pseudocatenulatum,0.0750,12,2022/1/1,No
BP2,B. pseudocatenulatum,B. pseudocatenulatum,Bifidobacterium pseudocatenulatum,0.0740,12,2022/1/1,No
BP3,B. pseudocatenulatum,B. pseudocatenulatum,Bifidobacterium pseudocatenulatum,0.0740,12,2022/1/1,No
BP4,B. pseudocatenulatum,B. pseudocatenulatum,Bifidobacterium pseudocatenulatum,0.0730,12,2022/1/1,No
BP5,B. pseudocatenulatum,B. pseudocatenulatum,Bifidobacterium pseudocatenulatum,0.0770,12,2022/1/1,No
BP6,B. pseudocatenulatum,B. pseudocatenulatum,Bifidobacterium pseudocatenulatum,0.0750,12,2022/1/1,No
BP+PCS1,B. pseudocatenulatum+P.copri sup,B. pseudocatenulatum,Bifidobacterium pseudocatenulatum,0.1580,12,2022/1/1,Yes
BP+PCS2,B. pseudocatenulatum+P.copri sup,B. pseudocatenulatum,Bifidobacterium pseudocatenulatum,0.2890,12,2022/1/1,Yes
BP+PCS3,B. pseudocatenulatum+P.copri sup,B. pseudocatenulatum,Bifidobacterium pseudocatenulatum,0.0580,12,2022/1/1,Yes
BP+PCS4,B. pseudocatenulatum+P.copri sup,B. pseudocatenulatum,Bifidobacterium pseudocatenulatum,0.1560,12,2022/1/1,Yes
BP+PCS5,B. pseudocatenulatum+P.copri sup,B. pseudocatenulatum,Bifidobacterium pseudocatenulatum,0.2860,12,2022/1/1,Yes
BP+PCS6,B. pseudocatenulatum+P.copri sup,B. pseudocatenulatum,Bifidobacterium pseudocatenulatum,0.0570,12,2022/1/1,Yes
BP1,B. pseudocatenulatum,B. pseudocatenulatum,Bifidobacterium pseudocatenulatum,0.8280,24,2022/1/1,No
BP2,B. pseudocatenulatum,B. pseudocatenulatum,Bifidobacterium pseudocatenulatum,0.7940,24,2022/1/1,No
BP3,B. pseudocatenulatum,B. pseudocatenulatum,Bifidobacterium pseudocatenulatum,0.8140,24,2022/1/1,No
BP4,B. pseudocatenulatum,B. pseudocatenulatum,Bifidobacterium pseudocatenulatum,0.7770,24,2022/1/1,No
BP5,B. pseudocatenulatum,B. pseudocatenulatum,Bifidobacterium pseudocatenulatum,0.7460,24,2022/1/1,No
BP6,B. pseudocatenulatum,B. pseudocatenulatum,Bifidobacterium pseudocatenulatum,0.7510,24,2022/1/1,No
BP+PCS1,B. pseudocatenulatum+P.copri sup,B. pseudocatenulatum,Bifidobacterium pseudocatenulatum,0.4380,24,2022/1/1,Yes
BP+PCS2,B. pseudocatenulatum+P.copri sup,B. pseudocatenulatum,Bifidobacterium pseudocatenulatum,0.3910,24,2022/1/1,Yes
BP+PCS3,B. pseudocatenulatum+P.copri sup,B. pseudocatenulatum,Bifidobacterium pseudocatenulatum,0.3740,24,2022/1/1,Yes
BP+PCS4,B. pseudocatenulatum+P.copri sup,B. pseudocatenulatum,Bifidobacterium pseudocatenulatum,0.4470,24,2022/1/1,Yes
BP+PCS5,B. pseudocatenulatum+P.copri sup,B. pseudocatenulatum,Bifidobacterium pseudocatenulatum,0.4040,24,2022/1/1,Yes
BP+PCS6,B. pseudocatenulatum+P.copri sup,B. pseudocatenulatum,Bifidobacterium pseudocatenulatum,0.3750,24,2022/1/1,Yes
BP1,B. pseudocatenulatum,B. pseudocatenulatum,Bifidobacterium pseudocatenulatum,0.8380,36,2022/1/1,No
BP2,B. pseudocatenulatum,B. pseudocatenulatum,Bifidobacterium pseudocatenulatum,0.8020,36,2022/1/1,No
BP3,B. pseudocatenulatum,B. pseudocatenulatum,Bifidobacterium pseudocatenulatum,0.8150,36,2022/1/1,No
BP4,B. pseudocatenulatum,B. pseudocatenulatum,Bifidobacterium pseudocatenulatum,0.7260,36,2022/1/1,No
BP5,B. pseudocatenulatum,B. pseudocatenulatum,Bifidobacterium pseudocatenulatum,0.7980,36,2022/1/1,No
BP6,B. pseudocatenulatum,B. pseudocatenulatum,Bifidobacterium pseudocatenulatum,0.7550,36,2022/1/1,No
BP+PCS1,B. pseudocatenulatum+P.copri sup,B. pseudocatenulatum,Bifidobacterium pseudocatenulatum,0.4240,36,2022/1/1,Yes
BP+PCS2,B. pseudocatenulatum+P.copri sup,B. pseudocatenulatum,Bifidobacterium pseudocatenulatum,0.3950,36,2022/1/1,Yes
BP+PCS3,B. pseudocatenulatum+P.copri sup,B. pseudocatenulatum,Bifidobacterium pseudocatenulatum,0.5520,36,2022/1/1,Yes
BP+PCS4,B. pseudocatenulatum+P.copri sup,B. pseudocatenulatum,Bifidobacterium pseudocatenulatum,0.4400,36,2022/1/1,Yes
BP+PCS5,B. pseudocatenulatum+P.copri sup,B. pseudocatenulatum,Bifidobacterium pseudocatenulatum,0.3990,36,2022/1/1,Yes
BP+PCS6,B. pseudocatenulatum+P.copri sup,B. pseudocatenulatum,Bifidobacterium pseudocatenulatum,0.5560,36,2022/1/1,Yes
BP1,B. pseudocatenulatum,B. pseudocatenulatum,Bifidobacterium pseudocatenulatum,0.4930,60,2022/1/1,No
BP2,B. pseudocatenulatum,B. pseudocatenulatum,Bifidobacterium pseudocatenulatum,0.5400,60,2022/1/1,No
BP3,B. pseudocatenulatum,B. pseudocatenulatum,Bifidobacterium pseudocatenulatum,0.5730,60,2022/1/1,No
BP4,B. pseudocatenulatum,B. pseudocatenulatum,Bifidobacterium pseudocatenulatum,0.5170,60,2022/1/1,No
BP5,B. pseudocatenulatum,B. pseudocatenulatum,Bifidobacterium pseudocatenulatum,0.5580,60,2022/1/1,No
BP6,B. pseudocatenulatum,B. pseudocatenulatum,Bifidobacterium pseudocatenulatum,0.5920,60,2022/1/1,No
BP+PCS1,B. pseudocatenulatum+P.copri sup,B. pseudocatenulatum,Bifidobacterium pseudocatenulatum,0.4250,60,2022/1/1,Yes
BP+PCS2,B. pseudocatenulatum+P.copri sup,B. pseudocatenulatum,Bifidobacterium pseudocatenulatum,0.4440,60,2022/1/1,Yes
BP+PCS3,B. pseudocatenulatum+P.copri sup,B. pseudocatenulatum,Bifidobacterium pseudocatenulatum,0.3380,60,2022/1/1,Yes
BP+PCS4,B. pseudocatenulatum+P.copri sup,B. pseudocatenulatum,Bifidobacterium pseudocatenulatum,0.3450,60,2022/1/1,Yes
BP+PCS5,B. pseudocatenulatum+P.copri sup,B. pseudocatenulatum,Bifidobacterium pseudocatenulatum,0.4160,60,2022/1/1,Yes
BP+PCS6,B. pseudocatenulatum+P.copri sup,B. pseudocatenulatum,Bifidobacterium pseudocatenulatum,0.4210,60,2022/1/1,Yes
LS1,L.salivarius,L.salivarius,Lactobacillus salivarius,0.0730,0,2022/1/1,No
LS2,L.salivarius,L.salivarius,Lactobacillus salivarius,0.0840,0,2022/1/1,No
LS3,L.salivarius,L.salivarius,Lactobacillus salivarius,0.0640,0,2022/1/1,No
LS4,L.salivarius,L.salivarius,Lactobacillus salivarius,0.0750,0,2022/1/1,No
LS5,L.salivarius,L.salivarius,Lactobacillus salivarius,0.0730,0,2022/1/1,No
LS6,L.salivarius,L.salivarius,Lactobacillus salivarius,0.0630,0,2022/1/1,No
LS+PCS1,L.salivarius+P.copri sup,L.salivarius,Lactobacillus salivarius,0.0700,0,2022/1/1,Yes
LS+PCS2,L.salivarius+P.copri sup,L.salivarius,Lactobacillus salivarius,0.0570,0,2022/1/1,Yes
LS+PCS3,L.salivarius+P.copri sup,L.salivarius,Lactobacillus salivarius,0.0710,0,2022/1/1,Yes
LS+PCS4,L.salivarius+P.copri sup,L.salivarius,Lactobacillus salivarius,0.0700,0,2022/1/1,Yes
LS+PCS5,L.salivarius+P.copri sup,L.salivarius,Lactobacillus salivarius,0.0570,0,2022/1/1,Yes
LS+PCS6,L.salivarius+P.copri sup,L.salivarius,Lactobacillus salivarius,0.0710,0,2022/1/1,Yes
LS1,L.salivarius,L.salivarius,Lactobacillus salivarius,0.1380,6,2022/1/1,No
LS2,L.salivarius,L.salivarius,Lactobacillus salivarius,0.1880,6,2022/1/1,No
LS3,L.salivarius,L.salivarius,Lactobacillus salivarius,0.1240,6,2022/1/1,No
LS4,L.salivarius,L.salivarius,Lactobacillus salivarius,0.2480,6,2022/1/1,No
LS5,L.salivarius,L.salivarius,Lactobacillus salivarius,0.2300,6,2022/1/1,No
LS6,L.salivarius,L.salivarius,Lactobacillus salivarius,0.1130,6,2022/1/1,No
LS+PCS1,L.salivarius+P.copri sup,L.salivarius,Lactobacillus salivarius,0.0680,6,2022/1/1,Yes
LS+PCS2,L.salivarius+P.copri sup,L.salivarius,Lactobacillus salivarius,0.0920,6,2022/1/1,Yes
LS+PCS3,L.salivarius+P.copri sup,L.salivarius,Lactobacillus salivarius,0.0740,6,2022/1/1,Yes
LS+PCS4,L.salivarius+P.copri sup,L.salivarius,Lactobacillus salivarius,0.0680,6,2022/1/1,Yes
LS+PCS5,L.salivarius+P.copri sup,L.salivarius,Lactobacillus salivarius,0.0920,6,2022/1/1,Yes
LS+PCS6,L.salivarius+P.copri sup,L.salivarius,Lactobacillus salivarius,0.0730,6,2022/1/1,Yes
LS1,L.salivarius,L.salivarius,Lactobacillus salivarius,0.4810,12,2022/1/1,No
LS2,L.salivarius,L.salivarius,Lactobacillus salivarius,0.4180,12,2022/1/1,No
LS3,L.salivarius,L.salivarius,Lactobacillus salivarius,0.4050,12,2022/1/1,No
LS4,L.salivarius,L.salivarius,Lactobacillus salivarius,0.5510,12,2022/1/1,No
LS5,L.salivarius,L.salivarius,Lactobacillus salivarius,0.5090,12,2022/1/1,No
LS6,L.salivarius,L.salivarius,Lactobacillus salivarius,0.3470,12,2022/1/1,No
LS+PCS1,L.salivarius+P.copri sup,L.salivarius,Lactobacillus salivarius,0.1760,12,2022/1/1,Yes
LS+PCS2,L.salivarius+P.copri sup,L.salivarius,Lactobacillus salivarius,0.1750,12,2022/1/1,Yes
LS+PCS3,L.salivarius+P.copri sup,L.salivarius,Lactobacillus salivarius,0.0860,12,2022/1/1,Yes
LS+PCS4,L.salivarius+P.copri sup,L.salivarius,Lactobacillus salivarius,0.1730,12,2022/1/1,Yes
LS+PCS5,L.salivarius+P.copri sup,L.salivarius,Lactobacillus salivarius,0.1790,12,2022/1/1,Yes
LS+PCS6,L.salivarius+P.copri sup,L.salivarius,Lactobacillus salivarius,0.0870,12,2022/1/1,Yes
LS1,L.salivarius,L.salivarius,Lactobacillus salivarius,0.6010,24,2022/1/1,No
LS2,L.salivarius,L.salivarius,Lactobacillus salivarius,0.5520,24,2022/1/1,No
LS3,L.salivarius,L.salivarius,Lactobacillus salivarius,0.6070,24,2022/1/1,No
LS4,L.salivarius,L.salivarius,Lactobacillus salivarius,0.6260,24,2022/1/1,No
LS5,L.salivarius,L.salivarius,Lactobacillus salivarius,0.5800,24,2022/1/1,No
LS6,L.salivarius,L.salivarius,Lactobacillus salivarius,0.6030,24,2022/1/1,No
LS+PCS1,L.salivarius+P.copri sup,L.salivarius,Lactobacillus salivarius,0.6090,24,2022/1/1,Yes
LS+PCS2,L.salivarius+P.copri sup,L.salivarius,Lactobacillus salivarius,0.5140,24,2022/1/1,Yes
LS+PCS3,L.salivarius+P.copri sup,L.salivarius,Lactobacillus salivarius,0.4950,24,2022/1/1,Yes
LS+PCS4,L.salivarius+P.copri sup,L.salivarius,Lactobacillus salivarius,0.5990,24,2022/1/1,Yes
LS+PCS5,L.salivarius+P.copri sup,L.salivarius,Lactobacillus salivarius,0.5180,24,2022/1/1,Yes
LS+PCS6,L.salivarius+P.copri sup,L.salivarius,Lactobacillus salivarius,0.5010,24,2022/1/1,Yes
LS1,L.salivarius,L.salivarius,Lactobacillus salivarius,0.6510,36,2022/1/1,No
LS2,L.salivarius,L.salivarius,Lactobacillus salivarius,0.6230,36,2022/1/1,No
LS3,L.salivarius,L.salivarius,Lactobacillus salivarius,0.6050,36,2022/1/1,No
LS4,L.salivarius,L.salivarius,Lactobacillus salivarius,0.6060,36,2022/1/1,No
LS5,L.salivarius,L.salivarius,Lactobacillus salivarius,0.5890,36,2022/1/1,No
LS6,L.salivarius,L.salivarius,Lactobacillus salivarius,0.5820,36,2022/1/1,No
LS+PCS1,L.salivarius+P.copri sup,L.salivarius,Lactobacillus salivarius,0.5720,36,2022/1/1,Yes
LS+PCS2,L.salivarius+P.copri sup,L.salivarius,Lactobacillus salivarius,0.5160,36,2022/1/1,Yes
LS+PCS3,L.salivarius+P.copri sup,L.salivarius,Lactobacillus salivarius,0.4640,36,2022/1/1,Yes
LS+PCS4,L.salivarius+P.copri sup,L.salivarius,Lactobacillus salivarius,0.5800,36,2022/1/1,Yes
LS+PCS5,L.salivarius+P.copri sup,L.salivarius,Lactobacillus salivarius,0.5140,36,2022/1/1,Yes
LS+PCS6,L.salivarius+P.copri sup,L.salivarius,Lactobacillus salivarius,0.4850,36,2022/1/1,Yes
LS1,L.salivarius,L.salivarius,Lactobacillus salivarius,0.6010,60,2022/1/1,No
LS2,L.salivarius,L.salivarius,Lactobacillus salivarius,0.7290,60,2022/1/1,No
LS3,L.salivarius,L.salivarius,Lactobacillus salivarius,0.6790,60,2022/1/1,No
LS4,L.salivarius,L.salivarius,Lactobacillus salivarius,0.5770,60,2022/1/1,No
LS5,L.salivarius,L.salivarius,Lactobacillus salivarius,0.7120,60,2022/1/1,No
LS6,L.salivarius,L.salivarius,Lactobacillus salivarius,0.7420,60,2022/1/1,No
LS+PCS1,L.salivarius+P.copri sup,L.salivarius,Lactobacillus salivarius,0.5160,60,2022/1/1,Yes
LS+PCS2,L.salivarius+P.copri sup,L.salivarius,Lactobacillus salivarius,0.5350,60,2022/1/1,Yes
LS+PCS3,L.salivarius+P.copri sup,L.salivarius,Lactobacillus salivarius,0.4730,60,2022/1/1,Yes
LS+PCS4,L.salivarius+P.copri sup,L.salivarius,Lactobacillus salivarius,0.4830,60,2022/1/1,Yes
LS+PCS5,L.salivarius+P.copri sup,L.salivarius,Lactobacillus salivarius,0.3970,60,2022/1/1,Yes
LS+PCS6,L.salivarius+P.copri sup,L.salivarius,Lactobacillus salivarius,0.4200,60,2022/1/1,Yes
BV1,B.vulgatus,B.vulgatus,Bacteroides vulgatus,0.0770,0,2022/1/1,No
BV2,B.vulgatus,B.vulgatus,Bacteroides vulgatus,0.0820,0,2022/1/1,No
BV3,B.vulgatus,B.vulgatus,Bacteroides vulgatus,0.0640,0,2022/1/1,No
BV4,B.vulgatus,B.vulgatus,Bacteroides vulgatus,0.0730,0,2022/1/1,No
BV5,B.vulgatus,B.vulgatus,Bacteroides vulgatus,0.0730,0,2022/1/1,No
BV6,B.vulgatus,B.vulgatus,Bacteroides vulgatus,0.0740,0,2022/1/1,No
BV+PCS1,B.vulgatus+P.copri sup,B.vulgatus,Bacteroides vulgatus,0.0690,0,2022/1/1,Yes
BV+PCS2,B.vulgatus+P.copri sup,B.vulgatus,Bacteroides vulgatus,0.0620,0,2022/1/1,Yes
BV+PCS3,B.vulgatus+P.copri sup,B.vulgatus,Bacteroides vulgatus,0.0590,0,2022/1/1,Yes
BV+PCS4,B.vulgatus+P.copri sup,B.vulgatus,Bacteroides vulgatus,0.0690,0,2022/1/1,Yes
BV+PCS5,B.vulgatus+P.copri sup,B.vulgatus,Bacteroides vulgatus,0.0620,0,2022/1/1,Yes
BV+PCS6,B.vulgatus+P.copri sup,B.vulgatus,Bacteroides vulgatus,0.0590,0,2022/1/1,Yes
BV1,B.vulgatus,B.vulgatus,Bacteroides vulgatus,0.1130,6,2022/1/1,No
BV2,B.vulgatus,B.vulgatus,Bacteroides vulgatus,0.1170,6,2022/1/1,No
BV3,B.vulgatus,B.vulgatus,Bacteroides vulgatus,0.0960,6,2022/1/1,No
BV4,B.vulgatus,B.vulgatus,Bacteroides vulgatus,0.0980,6,2022/1/1,No
BV5,B.vulgatus,B.vulgatus,Bacteroides vulgatus,0.0950,6,2022/1/1,No
BV6,B.vulgatus,B.vulgatus,Bacteroides vulgatus,0.1050,6,2022/1/1,No
BV+PCS1,B.vulgatus+P.copri sup,B.vulgatus,Bacteroides vulgatus,0.0600,6,2022/1/1,Yes
BV+PCS2,B.vulgatus+P.copri sup,B.vulgatus,Bacteroides vulgatus,0.0620,6,2022/1/1,Yes
BV+PCS3,B.vulgatus+P.copri sup,B.vulgatus,Bacteroides vulgatus,0.0710,6,2022/1/1,Yes
BV+PCS4,B.vulgatus+P.copri sup,B.vulgatus,Bacteroides vulgatus,0.0600,6,2022/1/1,Yes
BV+PCS5,B.vulgatus+P.copri sup,B.vulgatus,Bacteroides vulgatus,0.0620,6,2022/1/1,Yes
BV+PCS6,B.vulgatus+P.copri sup,B.vulgatus,Bacteroides vulgatus,0.0710,6,2022/1/1,Yes
BV1,B.vulgatus,B.vulgatus,Bacteroides vulgatus,0.1770,12,2022/1/1,No
BV2,B.vulgatus,B.vulgatus,Bacteroides vulgatus,0.1750,12,2022/1/1,No
BV3,B.vulgatus,B.vulgatus,Bacteroides vulgatus,0.1610,12,2022/1/1,No
BV4,B.vulgatus,B.vulgatus,Bacteroides vulgatus,0.1520,12,2022/1/1,No
BV5,B.vulgatus,B.vulgatus,Bacteroides vulgatus,0.1420,12,2022/1/1,No
BV6,B.vulgatus,B.vulgatus,Bacteroides vulgatus,0.1600,12,2022/1/1,No
BV+PCS1,B.vulgatus+P.copri sup,B.vulgatus,Bacteroides vulgatus,0.0920,12,2022/1/1,Yes
BV+PCS2,B.vulgatus+P.copri sup,B.vulgatus,Bacteroides vulgatus,0.0730,12,2022/1/1,Yes
BV+PCS3,B.vulgatus+P.copri sup,B.vulgatus,Bacteroides vulgatus,0.0630,12,2022/1/1,Yes
BV+PCS4,B.vulgatus+P.copri sup,B.vulgatus,Bacteroides vulgatus,0.0910,12,2022/1/1,Yes
BV+PCS5,B.vulgatus+P.copri sup,B.vulgatus,Bacteroides vulgatus,0.0720,12,2022/1/1,Yes
BV+PCS6,B.vulgatus+P.copri sup,B.vulgatus,Bacteroides vulgatus,0.0620,12,2022/1/1,Yes
