,Group,OD600,Incubation time,facet
RCM+Bv Sup3,RCM+Bv Sup,0.069,12,2
Pc+Bp Sup1,Pc+Bp Sup,0.125,12,3
Pc+Bp Sup2,Pc+Bp Sup,0.113,12,3
Pc+Bp Sup3,Pc+Bp Sup,0.114,12,3
Pc+Bp Sup4,Pc+Bp Sup,0.12,12,3
Pc+Bp Sup5,Pc+Bp Sup,0.118,12,3
Pc+Bp Sup6,Pc+Bp Sup,0.118,12,3
RCM+Bp Sup1,RCM+Bp Sup,0.057,12,3
RCM+Bp Sup2,RCM+Bp Sup,0.058,12,3
RCM+Bp Sup3,RCM+Bp Sup,0.07,12,3
Pc+Ls Sup1,Pc+Ls Sup,0.127,12,3
Pc+Ls Sup2,Pc+Ls Sup,0.125,12,3
Pc+Ls Sup3,Pc+Ls Sup,0.119,12,3
Pc+Ls Sup4,Pc+Ls Sup,0.109,12,3
Pc+Ls Sup5,Pc+Ls Sup,0.125,12,3
Pc+Ls Sup6,Pc+Ls Sup,0.123,12,3
RCM+Ls Sup1,RCM+Ls Sup,0.057,12,3
RCM+Ls Sup2,RCM+Ls Sup,0.06,12,3
RCM+Ls Sup3,RCM+Ls Sup,0.067,12,3
Pc+Po Sup1,Pc+Po Sup,0.139,12,4
Pc+Po Sup2,Pc+Po Sup,0.151,12,4
Pc+Po Sup3,Pc+Po Sup,0.157,12,4
Pc+Po Sup4,Pc+Po Sup,0.154,12,4
Pc+Po Sup5,Pc+Po Sup,0.146,12,4
Pc+Po Sup6,Pc+Po Sup,0.155,12,4
RCM+Po Sup1,RCM+Po Sup,0.058,12,4
RCM+Po Sup2,RCM+Po Sup,0.061,12,4
RCM+Po Sup3,RCM+Po Sup,0.067,12,4
Pc+RCM1,Pc,0.115,12,1
Pc+RCM2,Pc,0.102,12,1
Pc+RCM3,Pc,0.101,12,1
Pc+RCM4,Pc,0.104,12,1
Pc+RCM5,Pc,0.12,12,1
Pc+RCM6,Pc,0.116,12,1
RCM1,RCM,0.058,12,1
RCM2,RCM,0.06,12,1
RCM3,RCM,0.067,12,1
Pc+Pc Sup1,Pc+Pc Sup,0.149,24,4
Pc+Pc Sup2,Pc+Pc Sup,0.128,24,4
Pc+Pc Sup3,Pc+Pc Sup,0.139,24,4
Pc+Pc Sup4,Pc+Pc Sup,0.144,24,4
Pc+Pc Sup5,Pc+Pc Sup,0.167,24,4
Pc+Pc Sup6,Pc+Pc Sup,0.159,24,4
RCM+Pc Sup1,RCM+Pc Sup,0.072,24,4
RCM+Pc Sup2,RCM+Pc Sup,0.067,24,4
RCM+Pc Sup3,RCM+Pc Sup,0.089,24,4
Pc+Bo Sup1,Pc+Bo Sup,0.2595,24,2
Pc+Bo Sup2,Pc+Bo Sup,0.2205,24,2
Pc+Bo Sup3,Pc+Bo Sup,0.2145,24,2
Pc+Bo Sup4,Pc+Bo Sup,0.222,24,2
Pc+Bo Sup5,Pc+Bo Sup,0.2415,24,2
Pc+Bo Sup6,Pc+Bo Sup,0.2415,24,2
RCM+Bo Sup1,RCM+Bo Sup,0.077,24,2
RCM+Bo Sup2,RCM+Bo Sup,0.066,24,2
RCM+Bo Sup3,RCM+Bo Sup,0.079,24,2
Pc+Bv Sup1,Pc+Bv Sup,0.2715,24,2
Pc+Bv Sup2,Pc+Bv Sup,0.288,24,2
Pc+Bv Sup3,Pc+Bv Sup,0.258,24,2
Pc+Bv Sup4,Pc+Bv Sup,0.267,24,2
Pc+Bv Sup5,Pc+Bv Sup,0.2625,24,2
Pc+Bv Sup6,Pc+Bv Sup,0.2625,24,2
RCM+Bv Sup1,RCM+Bv Sup,0.07,24,2
RCM+Bv Sup2,RCM+Bv Sup,0.067,24,2
RCM+Bv Sup3,RCM+Bv Sup,0.08,24,2
Pc+Bp Sup1,Pc+Bp Sup,0.125,24,3
Pc+Bp Sup2,Pc+Bp Sup,0.122,24,3
Pc+Bp Sup3,Pc+Bp Sup,0.11,24,3
Pc+Bp Sup4,Pc+Bp Sup,0.114,24,3
Pc+Bp Sup5,Pc+Bp Sup,0.115,24,3
Pc+Bp Sup6,Pc+Bp Sup,0.146,24,3
RCM+Bp Sup1,RCM+Bp Sup,0.064,24,3
RCM+Bp Sup2,RCM+Bp Sup,0.064,24,3
RCM+Bp Sup3,RCM+Bp Sup,0.078,24,3
Pc+Ls Sup1,Pc+Ls Sup,0.135,24,3
Pc+Ls Sup2,Pc+Ls Sup,0.146,24,3
Pc+Ls Sup3,Pc+Ls Sup,0.115,24,3
Pc+Ls Sup4,Pc+Ls Sup,0.122,24,3
Pc+Ls Sup5,Pc+Ls Sup,0.128,24,3
Pc+Ls Sup6,Pc+Ls Sup,0.127,24,3
RCM+Ls Sup1,RCM+Ls Sup,0.062,24,3
RCM+Ls Sup2,RCM+Ls Sup,0.064,24,3
RCM+Ls Sup3,RCM+Ls Sup,0.076,24,3
Pc+Po Sup1,Pc+Po Sup,0.157,24,4
Pc+Po Sup2,Pc+Po Sup,0.148,24,4
Pc+Po Sup3,Pc+Po Sup,0.153,24,4
Pc+Po Sup4,Pc+Po Sup,0.142,24,4
Pc+Po Sup5,Pc+Po Sup,0.156,24,4
Pc+Po Sup6,Pc+Po Sup,0.154,24,4
RCM+Po Sup1,RCM+Po Sup,0.064,24,4
RCM+Po Sup2,RCM+Po Sup,0.064,24,4
RCM+Po Sup3,RCM+Po Sup,0.076,24,4
Pc+RCM1,Pc,0.122,24,1
Pc+RCM2,Pc,0.124,24,1
Pc+RCM3,Pc,0.108,24,1
Pc+RCM4,Pc,0.117,24,1
Pc+RCM5,Pc,0.132,24,1
Pc+RCM6,Pc,0.131,24,1
RCM1,RCM,0.066,24,1
RCM2,RCM,0.065,24,1
RCM3,RCM,0.076,24,1
Pc+Pc Sup1,Pc+Pc Sup,0.151,36,4
Pc+Pc Sup2,Pc+Pc Sup,0.134,36,4
Pc+Pc Sup3,Pc+Pc Sup,0.131,36,4
Pc+Pc Sup4,Pc+Pc Sup,0.146,36,4
Pc+Pc Sup5,Pc+Pc Sup,0.149,36,4
Pc+Pc Sup6,Pc+Pc Sup,0.15,36,4
RCM+Pc Sup1,RCM+Pc Sup,0.068,36,4
RCM+Pc Sup2,RCM+Pc Sup,0.063,36,4
RCM+Pc Sup3,RCM+Pc Sup,0.075,36,4
Pc+Bo Sup1,Pc+Bo Sup,0.2475,36,2
Pc+Bo Sup2,Pc+Bo Sup,0.2235,36,2
Pc+Bo Sup3,Pc+Bo Sup,0.225,36,2
Pc+Bo Sup4,Pc+Bo Sup,0.234,36,2
Pc+Bo Sup5,Pc+Bo Sup,0.2415,36,2
Pc+Bo Sup6,Pc+Bo Sup,0.243,36,2
RCM+Bo Sup1,RCM+Bo Sup,0.06,36,2
RCM+Bo Sup2,RCM+Bo Sup,0.066,36,2
RCM+Bo Sup3,RCM+Bo Sup,0.077,36,2
Pc+Bv Sup1,Pc+Bv Sup,0.2595,36,2
Pc+Bv Sup2,Pc+Bv Sup,0.255,36,2
Pc+Bv Sup3,Pc+Bv Sup,0.2325,36,2
Pc+Bv Sup4,Pc+Bv Sup,0.2595,36,2
Pc+Bv Sup5,Pc+Bv Sup,0.261,36,2
Pc+Bv Sup6,Pc+Bv Sup,0.2565,36,2
RCM+Bv Sup1,RCM+Bv Sup,0.062,36,2
RCM+Bv Sup2,RCM+Bv Sup,0.062,36,2
RCM+Bv Sup3,RCM+Bv Sup,0.076,36,2
Pc+Bp Sup1,Pc+Bp Sup,0.115,36,3
Pc+Bp Sup2,Pc+Bp Sup,0.123,36,3
Pc+Bp Sup3,Pc+Bp Sup,0.111,36,3
Pc+Bp Sup4,Pc+Bp Sup,0.112,36,3
Pc+Bp Sup5,Pc+Bp Sup,0.126,36,3
Pc+Bp Sup6,Pc+Bp Sup,0.139,36,3
RCM+Bp Sup1,RCM+Bp Sup,0.064,36,3
RCM+Bp Sup2,RCM+Bp Sup,0.062,36,3
RCM+Bp Sup3,RCM+Bp Sup,0.07,36,3
Pc+Ls Sup1,Pc+Ls Sup,0.125,36,3
Pc+Ls Sup2,Pc+Ls Sup,0.129,36,3
Pc+Ls Sup3,Pc+Ls Sup,0.108,36,3
Pc+Ls Sup4,Pc+Ls Sup,0.115,36,3
Pc+Ls Sup5,Pc+Ls Sup,0.125,36,3
Pc+Ls Sup6,Pc+Ls Sup,0.126,36,3
RCM+Ls Sup1,RCM+Ls Sup,0.061,36,3
RCM+Ls Sup2,RCM+Ls Sup,0.059,36,3
RCM+Ls Sup3,RCM+Ls Sup,0.069,36,3
Pc+Po Sup1,Pc+Po Sup,0.144,36,4
Pc+Po Sup2,Pc+Po Sup,0.134,36,4
Pc+Po Sup3,Pc+Po Sup,0.138,36,4
Pc+Po Sup4,Pc+Po Sup,0.135,36,4
Pc+Po Sup5,Pc+Po Sup,0.138,36,4
Pc+Po Sup6,Pc+Po Sup,0.154,36,4
RCM+Po Sup1,RCM+Po Sup,0.06,36,4
RCM+Po Sup2,RCM+Po Sup,0.06,36,4
RCM+Po Sup3,RCM+Po Sup,0.068,36,4
Pc+RCM1,Pc,0.126,36,1
Pc+RCM2,Pc,0.12,36,1
Pc+RCM3,Pc,0.114,36,1
Pc+RCM4,Pc,0.121,36,1
Pc+RCM5,Pc,0.13,36,1
Pc+RCM6,Pc,0.131,36,1
RCM1,RCM,0.064,36,1
RCM2,RCM,0.059,36,1
RCM3,RCM,0.07,36,1
Pc+Pc Sup1,Pc+Pc Sup,0.144,48,4
Pc+Pc Sup2,Pc+Pc Sup,0.132,48,4
Pc+Pc Sup3,Pc+Pc Sup,0.126,48,4
Pc+Pc Sup4,Pc+Pc Sup,0.139,48,4
Pc+Pc Sup5,Pc+Pc Sup,0.136,48,4
Pc+Pc Sup6,Pc+Pc Sup,0.144,48,4
RCM+Pc Sup1,RCM+Pc Sup,0.066,48,4
RCM+Pc Sup2,RCM+Pc Sup,0.064,48,4
RCM+Pc Sup3,RCM+Pc Sup,0.077,48,4
Pc+Bo Sup1,Pc+Bo Sup,0.234,48,2
Pc+Bo Sup2,Pc+Bo Sup,0.2055,48,2
Pc+Bo Sup3,Pc+Bo Sup,0.195,48,2
Pc+Bo Sup4,Pc+Bo Sup,0.219,48,2
Pc+Bo Sup5,Pc+Bo Sup,0.213,48,2
Pc+Bo Sup6,Pc+Bo Sup,0.234,48,2
RCM+Bo Sup1,RCM+Bo Sup,0.067,48,2
RCM+Bo Sup2,RCM+Bo Sup,0.066,48,2
RCM+Bo Sup3,RCM+Bo Sup,0.079,48,2
Pc+Bv Sup1,Pc+Bv Sup,0.2625,48,2
Pc+Bv Sup2,Pc+Bv Sup,0.2745,48,2
Pc+Bv Sup3,Pc+Bv Sup,0.2025,48,2
Pc+Bv Sup4,Pc+Bv Sup,0.2385,48,2
Pc+Bv Sup5,Pc+Bv Sup,0.237,48,2
Pc+Bv Sup6,Pc+Bv Sup,0.2235,48,2
RCM+Bv Sup1,RCM+Bv Sup,0.058,48,2
RCM+Bv Sup2,RCM+Bv Sup,0.062,48,2
RCM+Bv Sup3,RCM+Bv Sup,0.071,48,2
Pc+Bp Sup1,Pc+Bp Sup,0.114,48,3
Pc+Bp Sup2,Pc+Bp Sup,0.126,48,3
Pc+Bp Sup3,Pc+Bp Sup,0.109,48,3
Pc+Bp Sup4,Pc+Bp Sup,0.111,48,3
Pc+Bp Sup5,Pc+Bp Sup,0.122,48,3
Pc+Bp Sup6,Pc+Bp Sup,0.12,48,3
RCM+Bp Sup1,RCM+Bp Sup,0.058,48,3
RCM+Bp Sup2,RCM+Bp Sup,0.061,48,3
RCM+Bp Sup3,RCM+Bp Sup,0.069,48,3
Pc+Ls Sup1,Pc+Ls Sup,0.121,48,3
Pc+Ls Sup2,Pc+Ls Sup,0.134,48,3
Pc+Ls Sup3,Pc+Ls Sup,0.103,48,3
Pc+Ls Sup4,Pc+Ls Sup,0.118,48,3
Pc+Ls Sup5,Pc+Ls Sup,0.116,48,3
Pc+Ls Sup6,Pc+Ls Sup,0.125,48,3
RCM+Ls Sup1,RCM+Ls Sup,0.059,48,3
RCM+Ls Sup2,RCM+Ls Sup,0.064,48,3
RCM+Ls Sup3,RCM+Ls Sup,0.068,48,3
Pc+Po Sup1,Pc+Po Sup,0.151,48,4
Pc+Po Sup2,Pc+Po Sup,0.139,48,4
Pc+Po Sup3,Pc+Po Sup,0.134,48,4
Pc+Po Sup4,Pc+Po Sup,0.139,48,4
Pc+Po Sup5,Pc+Po Sup,0.142,48,4
Pc+Po Sup6,Pc+Po Sup,0.156,48,4
RCM+Po Sup1,RCM+Po Sup,0.058,48,4
RCM+Po Sup2,RCM+Po Sup,0.061,48,4
RCM+Po Sup3,RCM+Po Sup,0.068,48,4
Pc+RCM1,Pc,0.134,48,1
Pc+RCM2,Pc,0.12,48,1
Pc+RCM3,Pc,0.116,48,1
Pc+RCM4,Pc,0.125,48,1
Pc+RCM5,Pc,0.135,48,1
Pc+RCM6,Pc,0.136,48,1
RCM1,RCM,0.058,48,1
RCM2,RCM,0.06,48,1
RCM3,RCM,0.076,48,1
Pc+Pc Sup1,Pc+Pc Sup,0.144,60,4
Pc+Pc Sup2,Pc+Pc Sup,0.131,60,4
Pc+Pc Sup3,Pc+Pc Sup,0.13,60,4
Pc+Pc Sup4,Pc+Pc Sup,0.151,60,4
Pc+Pc Sup5,Pc+Pc Sup,0.136,60,4
